Vdd,Cload (fF),Slew (ps),Temp (C),Wp (um),Gate_ID,Power (uW)
0.7,1.0,10.0,-40,0.18,2,0.029
0.7,1.0,10.0,-40,0.36,2,0.035
0.7,1.0,10.0,-25,0.18,2,0.028
0.7,1.0,10.0,-25,0.36,2,0.034
0.7,1.0,10.0,0,0.18,2,0.028
0.7,1.0,10.0,0,0.36,2,0.035
0.7,1.0,10.0,25,0.18,2,0.028
0.7,1.0,10.0,25,0.36,2,0.035
0.7,1.0,10.0,75,0.18,2,0.028
0.7,1.0,10.0,75,0.36,2,0.035
0.7,1.0,10.0,100,0.18,2,0.028
0.7,1.0,10.0,100,0.36,2,0.035
0.7,1.0,10.0,125,0.18,2,0.028
0.7,1.0,10.0,125,0.36,2,0.036
0.7,1.0,50.0,-40,0.18,2,0.045
0.7,1.0,50.0,-40,0.36,2,0.053
0.7,1.0,50.0,-25,0.18,2,0.043
0.7,1.0,50.0,-25,0.36,2,0.05
0.7,1.0,50.0,0,0.18,2,0.041
0.7,1.0,50.0,0,0.36,2,0.048
0.7,1.0,50.0,25,0.18,2,0.039
0.7,1.0,50.0,25,0.36,2,0.046
0.7,1.0,50.0,75,0.18,2,0.037
0.7,1.0,50.0,75,0.36,2,0.041
0.7,1.0,50.0,100,0.18,2,0.036
0.7,1.0,50.0,100,0.36,2,0.043
0.7,1.0,50.0,125,0.18,2,0.035
0.7,1.0,50.0,125,0.36,2,0.042
0.7,1.0,100.0,-40,0.18,2,0.044
0.7,1.0,100.0,-40,0.36,2,0.05
0.7,1.0,100.0,-25,0.18,2,0.044
0.7,1.0,100.0,-25,0.36,2,0.05
0.7,1.0,100.0,0,0.18,2,0.045
0.7,1.0,100.0,0,0.36,2,0.054
0.7,1.0,100.0,25,0.18,2,0.048
0.7,1.0,100.0,25,0.36,2,0.056
0.7,1.0,100.0,75,0.18,2,0.045
0.7,1.0,100.0,75,0.36,2,0.05
0.7,1.0,100.0,100,0.18,2,0.042
0.7,1.0,100.0,100,0.36,2,0.052
0.7,1.0,100.0,125,0.18,2,0.042
0.7,1.0,100.0,125,0.36,2,0.05
0.7,1.0,200.0,-40,0.18,2,0.035
0.7,1.0,200.0,-40,0.36,2,0.049
0.7,1.0,200.0,-25,0.18,2,0.035
0.7,1.0,200.0,-25,0.36,2,0.046
0.7,1.0,200.0,0,0.18,2,0.038
0.7,1.0,200.0,0,0.36,2,0.046
0.7,1.0,200.0,25,0.18,2,0.041
0.7,1.0,200.0,25,0.36,2,0.053
0.7,1.0,200.0,75,0.18,2,0.045
0.7,1.0,200.0,75,0.36,2,0.046
0.7,1.0,200.0,100,0.18,2,0.042
0.7,1.0,200.0,100,0.36,2,0.052
0.7,1.0,200.0,125,0.18,2,0.046
0.7,1.0,200.0,125,0.36,2,0.052
0.7,1.0,400.0,-40,0.18,2,0.043
0.7,1.0,400.0,-40,0.36,2,0.05
0.7,1.0,400.0,-25,0.18,2,0.037
0.7,1.0,400.0,-25,0.36,2,0.048
0.7,1.0,400.0,0,0.18,2,0.042
0.7,1.0,400.0,0,0.36,2,0.051
0.7,1.0,400.0,25,0.18,2,0.035
0.7,1.0,400.0,25,0.36,2,0.053
0.7,1.0,400.0,75,0.18,2,0.038
0.7,1.0,400.0,75,0.36,2,0.054
0.7,1.0,400.0,100,0.18,2,0.039
