Vdd,Cload,Slew,Temp,Wp,Gate_ID,Power
0.7,1e-15,1e-11,-40,1.8e-07,1,3.20417e-07
0.7,1e-15,1e-11,-40,3.6e-07,1,3.7143e-07
0.7,1e-15,1e-11,-25,1.8e-07,1,3.21832e-07
0.7,1e-15,1e-11,-25,3.6e-07,1,3.73798e-07
0.7,1e-15,1e-11,0,1.8e-07,1,3.23526e-07
0.7,1e-15,1e-11,0,3.6e-07,1,3.76673e-07
0.7,1e-15,1e-11,25,1.8e-07,1,3.24957e-07
0.7,1e-15,1e-11,25,3.6e-07,1,3.78973e-07
0.7,1e-15,1e-11,75,1.8e-07,1,3.26994e-07
0.7,1e-15,1e-11,75,3.6e-07,1,3.82783e-07
0.7,1e-15,1e-11,100,1.8e-07,1,3.28039e-07
0.7,1e-15,1e-11,100,3.6e-07,1,3.84289e-07
0.7,1e-15,1e-11,125,1.8e-07,1,3.28933e-07
0.7,1e-15,1e-11,125,3.6e-07,1,3.85654e-07
0.7,1e-15,5e-11,-40,1.8e-07,1,3.10244e-07
0.7,1e-15,5e-11,-40,3.6e-07,1,3.51735e-07
0.7,1e-15,5e-11,-25,1.8e-07,1,3.11694e-07
0.7,1e-15,5e-11,-25,3.6e-07,1,3.54594e-07
0.7,1e-15,5e-11,0,1.8e-07,1,3.13756e-07
0.7,1e-15,5e-11,0,3.6e-07,1,3.58693e-07
0.7,1e-15,5e-11,25,1.8e-07,1,3.15678e-07
0.7,1e-15,5e-11,25,3.6e-07,1,3.61966e-07
0.7,1e-15,5e-11,75,1.8e-07,1,3.19106e-07
0.7,1e-15,5e-11,75,3.6e-07,1,3.67358e-07
0.7,1e-15,5e-11,100,1.8e-07,1,3.20714e-07
0.7,1e-15,5e-11,100,3.6e-07,1,3.69833e-07
0.7,1e-15,5e-11,125,1.8e-07,1,3.22101e-07
0.7,1e-15,5e-11,125,3.6e-07,1,3.71859e-07
0.7,1e-15,1e-10,-40,1.8e-07,1,3.07547e-07
0.7,1e-15,1e-10,-40,3.6e-07,1,3.49823e-07
0.7,1e-15,1e-10,-25,1.8e-07,1,3.08729e-07
0.7,1e-15,1e-10,-25,3.6e-07,1,3.5153e-07
0.7,1e-15,1e-10,0,1.8e-07,1,3.10637e-07
0.7,1e-15,1e-10,0,3.6e-07,1,3.5418e-07
0.7,1e-15,1e-10,25,1.8e-07,1,3.1257e-07
0.7,1e-15,1e-10,25,3.6e-07,1,3.56707e-07
0.7,1e-15,1e-10,75,1.8e-07,1,3.15788e-07
0.7,1e-15,1e-10,75,3.6e-07,1,3.6173e-07
0.7,1e-15,1e-10,100,1.8e-07,1,3.17487e-07
0.7,1e-15,1e-10,100,3.6e-07,1,3.64149e-07
0.7,1e-15,1e-10,125,1.8e-07,1,3.18901e-07
0.7,1e-15,1e-10,125,3.6e-07,1,3.66286e-07
0.7,1e-15,2e-10,-40,1.8e-07,1,3.08526e-07
0.7,1e-15,2e-10,-40,3.6e-07,1,3.51455e-07
0.7,1e-15,2e-10,-25,1.8e-07,1,3.09156e-07
0.7,1e-15,2e-10,-25,3.6e-07,1,3.52242e-07
0.7,1e-15,2e-10,0,1.8e-07,1,3.1053e-07
0.7,1e-15,2e-10,0,3.6e-07,1,3.54318e-07
0.7,1e-15,2e-10,25,1.8e-07,1,3.12013e-07
0.7,1e-15,2e-10,25,3.6e-07,1,3.56576e-07
0.7,1e-15,2e-10,75,1.8e-07,1,3.15196e-07
0.7,1e-15,2e-10,75,3.6e-07,1,3.61308e-07
0.7,1e-15,2e-10,100,1.8e-07,1,3.16779e-07
0.7,1e-15,2e-10,100,3.6e-07,1,3.63593e-07
0.7,1e-15,2e-10,125,1.8e-07,1,3.18237e-07
0.7,1e-15,2e-10,125,3.6e-07,1,3.65797e-07
0.7,1e-15,4e-10,-40,1.8e-07,1,3.14709e-07
0.7,1e-15,4e-10,-40,3.6e-07,1,3.61076e-07
0.7,1e-15,4e-10,-25,1.8e-07,1,3.14378e-07
0.7,1e-15,4e-10,-25,3.6e-07,1,3.60566e-07
0.7,1e-15,4e-10,0,1.8e-07,1,3.15406e-07
0.7,1e-15,4e-10,0,3.6e-07,1,3.62227e-07
0.7,1e-15,4e-10,25,1.8e-07,1,3.17061e-07
0.7,1e-15,4e-10,25,3.6e-07,1,3.64857e-07
0.7,1e-15,4e-10,75,1.8e-07,1,3.21028e-07
0.7,1e-15,4e-10,75,3.6e-07,1,3.71023e-07
0.7,1e-15,4e-10,100,1.8e-07,1,3.23129e-07
0.7,1e-15,4e-10,100,3.6e-07,1,3.74247e-07
0.7,1e-15,4e-10,125,1.8e-07,1,3.25163e-07
0.7,1e-15,4e-10,125,3.6e-07,1,3.77438e-07
0.7,5.454545454545455e-15,1e-11,-40,1.8e-07,1,1.41678e-06
0.7,5.454545454545455e-15,1e-11,-40,3.6e-07,1,1.4726e-06
0.7,5.454545454545455e-15,1e-11,-25,1.8e-07,1,1.41767e-06
0.7,5.454545454545455e-15,1e-11,-25,3.6e-07,1,1.4739e-06
0.7,5.454545454545455e-15,1e-11,0,1.8e-07,1,1.41851e-06
0.7,5.454545454545455e-15,1e-11,0,3.6e-07,1,1.47558e-06
0.7,5.454545454545455e-15,1e-11,25,1.8e-07,1,1.41918e-06
0.7,5.454545454545455e-15,1e-11,25,3.6e-07,1,1.47707e-06
0.7,5.454545454545455e-15,1e-11,75,1.8e-07,1,1.4207e-06
0.7,5.454545454545455e-15,1e-11,75,3.6e-07,1,1.47928e-06
0.7,5.454545454545455e-15,1e-11,100,1.8e-07,1,1.42125e-06
0.7,5.454545454545455e-15,1e-11,100,3.6e-07,1,1.48014e-06
0.7,5.454545454545455e-15,1e-11,125,1.8e-07,1,1.42175e-06
0.7,5.454545454545455e-15,1e-11,125,3.6e-07,1,1.48094e-06
0.7,5.454545454545455e-15,5e-11,-40,1.8e-07,1,1.40944e-06
0.7,5.454545454545455e-15,5e-11,-40,3.6e-07,1,1.45761e-06
0.7,5.454545454545455e-15,5e-11,-25,1.8e-07,1,1.4113e-06
0.7,5.454545454545455e-15,5e-11,-25,3.6e-07,1,1.46046e-06
0.7,5.454545454545455e-15,5e-11,0,1.8e-07,1,1.41335e-06
0.7,5.454545454545455e-15,5e-11,0,3.6e-07,1,1.46412e-06
0.7,5.454545454545455e-15,5e-11,25,1.8e-07,1,1.415e-06
0.7,5.454545454545455e-15,5e-11,25,3.6e-07,1,1.46745e-06
0.7,5.454545454545455e-15,5e-11,75,1.8e-07,1,1.41738e-06
0.7,5.454545454545455e-15,5e-11,75,3.6e-07,1,1.47193e-06
0.7,5.454545454545455e-15,5e-11,100,1.8e-07,1,1.41837e-06
0.7,5.454545454545455e-15,5e-11,100,3.6e-07,1,1.47363e-06
0.7,5.454545454545455e-15,5e-11,125,1.8e-07,1,1.41927e-06
0.7,5.454545454545455e-15,5e-11,125,3.6e-07,1,1.47507e-06
0.7,5.454545454545455e-15,1e-10,-40,1.8e-07,1,1.40536e-06
0.7,5.454545454545455e-15,1e-10,-40,3.6e-07,1,1.45038e-06
0.7,5.454545454545455e-15,1e-10,-25,1.8e-07,1,1.40763e-06
0.7,5.454545454545455e-15,1e-10,-25,3.6e-07,1,1.45346e-06
0.7,5.454545454545455e-15,1e-10,0,1.8e-07,1,1.41014e-06
0.7,5.454545454545455e-15,1e-10,0,3.6e-07,1,1.45803e-06
0.7,5.454545454545455e-15,1e-10,25,1.8e-07,1,1.41198e-06
0.7,5.454545454545455e-15,1e-10,25,3.6e-07,1,1.46124e-06
0.7,5.454545454545455e-15,1e-10,75,1.8e-07,1,1.41502e-06
0.7,5.454545454545455e-15,1e-10,75,3.6e-07,1,1.46699e-06
0.7,5.454545454545455e-15,1e-10,100,1.8e-07,1,1.41626e-06
0.7,5.454545454545455e-15,1e-10,100,3.6e-07,1,1.46912e-06
0.7,5.454545454545455e-15,1e-10,125,1.8e-07,1,1.41733e-06
0.7,5.454545454545455e-15,1e-10,125,3.6e-07,1,1.47096e-06
0.7,5.454545454545455e-15,2e-10,-40,1.8e-07,1,1.40278e-06
0.7,5.454545454545455e-15,2e-10,-40,3.6e-07,1,1.4464e-06
0.7,5.454545454545455e-15,2e-10,-25,1.8e-07,1,1.40459e-06
0.7,5.454545454545455e-15,2e-10,-25,3.6e-07,1,1.44869e-06
0.7,5.454545454545455e-15,2e-10,0,1.8e-07,1,1.40718e-06
0.7,5.454545454545455e-15,2e-10,0,3.6e-07,1,1.45224e-06
0.7,5.454545454545455e-15,2e-10,25,1.8e-07,1,1.40898e-06
0.7,5.454545454545455e-15,2e-10,25,3.6e-07,1,1.45563e-06
0.7,5.454545454545455e-15,2e-10,75,1.8e-07,1,1.41242e-06
0.7,5.454545454545455e-15,2e-10,75,3.6e-07,1,1.46193e-06
0.7,5.454545454545455e-15,2e-10,100,1.8e-07,1,1.41393e-06
0.7,5.454545454545455e-15,2e-10,100,3.6e-07,1,1.46438e-06
0.7,5.454545454545455e-15,2e-10,125,1.8e-07,1,1.41518e-06
0.7,5.454545454545455e-15,2e-10,125,3.6e-07,1,1.46662e-06
0.7,5.454545454545455e-15,4e-10,-40,1.8e-07,1,1.40303e-06
0.7,5.454545454545455e-15,4e-10,-40,3.6e-07,1,1.44795e-06
0.7,5.454545454545455e-15,4e-10,-25,1.8e-07,1,1.40384e-06
0.7,5.454545454545455e-15,4e-10,-25,3.6e-07,1,1.44872e-06
0.7,5.454545454545455e-15,4e-10,0,1.8e-07,1,1.40574e-06
0.7,5.454545454545455e-15,4e-10,0,3.6e-07,1,1.45143e-06
0.7,5.454545454545455e-15,4e-10,25,1.8e-07,1,1.40767e-06
0.7,5.454545454545455e-15,4e-10,25,3.6e-07,1,1.45442e-06
0.7,5.454545454545455e-15,4e-10,75,1.8e-07,1,1.41109e-06
0.7,5.454545454545455e-15,4e-10,75,3.6e-07,1,1.46048e-06
0.7,5.454545454545455e-15,4e-10,100,1.8e-07,1,1.41176e-06
0.7,5.454545454545455e-15,4e-10,100,3.6e-07,1,1.4634e-06
0.7,5.454545454545455e-15,4e-10,125,1.8e-07,1,1.41035e-06
0.7,5.454545454545455e-15,4e-10,125,3.6e-07,1,1.46595e-06
0.7,9.909090909090907e-15,1e-11,-40,1.8e-07,1,2.5093e-06
0.7,9.909090909090907e-15,1e-11,-40,3.6e-07,1,2.56597e-06
0.7,9.909090909090907e-15,1e-11,-25,1.8e-07,1,2.50961e-06
0.7,9.909090909090907e-15,1e-11,-25,3.6e-07,1,2.56695e-06
0.7,9.909090909090907e-15,1e-11,0,1.8e-07,1,2.5102e-06
