Iteration,Vdd,Cload,Slew,Temp,Wp,Reason
351,0.7,2.327272727272727e-14,1e-11,-40,1.8e-07,Power value not found in log
895,0.7999999999999999,1e-15,2e-10,125,1.8e-07,Power value not found in log
898,0.7999999999999999,1e-15,4e-10,-40,3.6e-07,Power value not found in log
905,0.7999999999999999,1e-15,4e-10,75,1.8e-07,Power value not found in log
915,0.7999999999999999,5.454545454545455e-15,1e-11,0,1.8e-07,Power value not found in log
916,0.7999999999999999,5.454545454545455e-15,1e-11,0,3.6e-07,Power value not found in log
922,0.7999999999999999,5.454545454545455e-15,1e-11,100,3.6e-07,Power value not found in log
923,0.7999999999999999,5.454545454545455e-15,1e-11,125,1.8e-07,Power value not found in log
931,0.7999999999999999,5.454545454545455e-15,5e-11,25,1.8e-07,Power value not found in log
932,0.7999999999999999,5.454545454545455e-15,5e-11,25,3.6e-07,Power value not found in log
933,0.7999999999999999,5.454545454545455e-15,5e-11,75,1.8e-07,Power value not found in log
934,0.7999999999999999,5.454545454545455e-15,5e-11,75,3.6e-07,Power value not found in log
935,0.7999999999999999,5.454545454545455e-15,5e-11,100,1.8e-07,Power value not found in log
936,0.7999999999999999,5.454545454545455e-15,5e-11,100,3.6e-07,Power value not found in log
942,0.7999999999999999,5.454545454545455e-15,1e-10,-25,3.6e-07,Power value not found in log
946,0.7999999999999999,5.454545454545455e-15,1e-10,25,3.6e-07,Power value not found in log
951,0.7999999999999999,5.454545454545455e-15,1e-10,125,1.8e-07,Power value not found in log
953,0.7999999999999999,5.454545454545455e-15,2e-10,-40,1.8e-07,Power value not found in log
954,0.7999999999999999,5.454545454545455e-15,2e-10,-40,3.6e-07,Power value not found in log
961,0.7999999999999999,5.454545454545455e-15,2e-10,75,1.8e-07,Power value not found in log
962,0.7999999999999999,5.454545454545455e-15,2e-10,75,3.6e-07,Power value not found in log
964,0.7999999999999999,5.454545454545455e-15,2e-10,100,3.6e-07,Power value not found in log
965,0.7999999999999999,5.454545454545455e-15,2e-10,125,1.8e-07,Power value not found in log
966,0.7999999999999999,5.454545454545455e-15,2e-10,125,3.6e-07,Power value not found in log
967,0.7999999999999999,5.454545454545455e-15,4e-10,-40,1.8e-07,Power value not found in log
968,0.7999999999999999,5.454545454545455e-15,4e-10,-40,3.6e-07,Power value not found in log
969,0.7999999999999999,5.454545454545455e-15,4e-10,-25,1.8e-07,Power value not found in log
970,0.7999999999999999,5.454545454545455e-15,4e-10,-25,3.6e-07,Power value not found in log
971,0.7999999999999999,5.454545454545455e-15,4e-10,0,1.8e-07,Power value not found in log
972,0.7999999999999999,5.454545454545455e-15,4e-10,0,3.6e-07,Power value not found in log
974,0.7999999999999999,5.454545454545455e-15,4e-10,25,3.6e-07,Power value not found in log
980,0.7999999999999999,5.454545454545455e-15,4e-10,125,3.6e-07,Power value not found in log
981,0.7999999999999999,9.909090909090909e-15,1e-11,-40,1.8e-07,Power value not found in log
982,0.7999999999999999,9.909090909090909e-15,1e-11,-40,3.6e-07,Power value not found in log
983,0.7999999999999999,9.909090909090909e-15,1e-11,-25,1.8e-07,Power value not found in log
