Iteration,Vdd,Cload,Slew,Temp,Wp,Reason
1861,0.8999999999999999,9.909090909090907e-15,1e-10,125,1.8e-07,Power not found
1864,0.8999999999999999,9.909090909090907e-15,2e-10,-40,3.6e-07,Power not found
1867,0.8999999999999999,9.909090909090907e-15,2e-10,0,1.8e-07,Power not found
1870,0.8999999999999999,9.909090909090907e-15,2e-10,25,3.6e-07,Power not found
1873,0.8999999999999999,9.909090909090907e-15,2e-10,100,1.8e-07,Power not found
1887,0.8999999999999999,9.909090909090907e-15,4e-10,100,1.8e-07,Power not found
1892,0.8999999999999999,1.436363636363636e-14,1e-11,-40,3.6e-07,Power not found
1899,0.8999999999999999,1.436363636363636e-14,1e-11,75,1.8e-07,Power not found
1900,0.8999999999999999,1.436363636363636e-14,1e-11,75,3.6e-07,Power not found
1932,0.8999999999999999,1.436363636363636e-14,1e-10,125,3.6e-07,Power not found
1947,0.8999999999999999,1.436363636363636e-14,4e-10,-40,1.8e-07,Power not found
1972,0.8999999999999999,1.8818181818181816e-14,1e-11,100,3.6e-07,Power not found
1974,0.8999999999999999,1.8818181818181816e-14,1e-11,125,3.6e-07,Power not found
1987,0.8999999999999999,1.8818181818181816e-14,5e-11,125,1.8e-07,Power not found
1993,0.8999999999999999,1.8818181818181816e-14,1e-10,0,1.8e-07,Power not found
1997,0.8999999999999999,1.8818181818181816e-14,1e-10,75,1.8e-07,Power not found
2007,0.8999999999999999,1.8818181818181816e-14,2e-10,0,1.8e-07,Power not found
2009,0.8999999999999999,1.8818181818181816e-14,2e-10,25,1.8e-07,Power not found
2014,0.8999999999999999,1.8818181818181816e-14,2e-10,100,3.6e-07,Power not found
2042,0.8999999999999999,2.3272727272727273e-14,1e-11,100,3.6e-07,Power not found
2045,0.8999999999999999,2.3272727272727273e-14,5e-11,-40,1.8e-07,Power not found
2051,0.8999999999999999,2.3272727272727273e-14,5e-11,25,1.8e-07,Power not found
2054,0.8999999999999999,2.3272727272727273e-14,5e-11,75,3.6e-07,Power not found
2056,0.8999999999999999,2.3272727272727273e-14,5e-11,100,3.6e-07,Power not found
2062,0.8999999999999999,2.3272727272727273e-14,1e-10,-25,3.6e-07,Power not found
2068,0.8999999999999999,2.3272727272727273e-14,1e-10,75,3.6e-07,Power not found
2081,0.8999999999999999,2.3272727272727273e-14,2e-10,75,1.8e-07,Power not found
2084,0.8999999999999999,2.3272727272727273e-14,2e-10,100,3.6e-07,Power not found
2091,0.8999999999999999,2.3272727272727273e-14,4e-10,0,1.8e-07,Power not found
2097,0.8999999999999999,2.3272727272727273e-14,4e-10,100,1.8e-07,Power not found
2105,0.8999999999999999,2.7727272727272724e-14,1e-11,0,1.8e-07,Power not found
2107,0.8999999999999999,2.7727272727272724e-14,1e-11,25,1.8e-07,Power not found
2110,0.8999999999999999,2.7727272727272724e-14,1e-11,75,3.6e-07,Power not found
2127,0.8999999999999999,2.7727272727272724e-14,5e-11,125,1.8e-07,Power not found
2144,0.8999999999999999,2.7727272727272724e-14,2e-10,-40,3.6e-07,Power not found
2157,0.8999999999999999,2.7727272727272724e-14,4e-10,-40,1.8e-07,Power not found
2174,0.8999999999999999,3.2181818181818185e-14,1e-11,-25,3.6e-07,Power not found
2176,0.8999999999999999,3.2181818181818185e-14,1e-11,0,3.6e-07,Power not found
2183,0.8999999999999999,3.2181818181818185e-14,1e-11,125,1.8e-07,Power not found
2191,0.8999999999999999,3.2181818181818185e-14,5e-11,25,1.8e-07,Power not found
2195,0.8999999999999999,3.2181818181818185e-14,5e-11,100,1.8e-07,Power not found
2197,0.8999999999999999,3.2181818181818185e-14,5e-11,125,1.8e-07,Power not found
2199,0.8999999999999999,3.2181818181818185e-14,1e-10,-40,1.8e-07,Power not found
2209,0.8999999999999999,3.2181818181818185e-14,1e-10,100,1.8e-07,Power not found
2211,0.8999999999999999,3.2181818181818185e-14,1e-10,125,1.8e-07,Power not found
2220,0.8999999999999999,3.2181818181818185e-14,2e-10,25,3.6e-07,Power not found
