Vdd,Cload,Slew,Temp,Wp,Gate_ID,Power
0.7,1e-15,1e-11,-40,1.8e-07,3,1.43497e-07
0.7,1e-15,1e-11,-40,3.6e-07,3,1.92652e-07
0.7,1e-15,1e-11,-25,1.8e-07,3,1.45041e-07
0.7,1e-15,1e-11,-25,3.6e-07,3,1.95731e-07
0.7,1e-15,1e-11,0,1.8e-07,3,1.47486e-07
0.7,1e-15,1e-11,0,3.6e-07,3,2.00495e-07
0.7,1e-15,1e-11,25,1.8e-07,3,1.49786e-07
0.7,1e-15,1e-11,25,3.6e-07,3,2.04972e-07
0.7,1e-15,1e-11,75,1.8e-07,3,1.54008e-07
0.7,1e-15,1e-11,75,3.6e-07,3,2.1313e-07
0.7,1e-15,1e-11,100,1.8e-07,3,1.55973e-07
0.7,1e-15,1e-11,100,3.6e-07,3,2.16896e-07
0.7,1e-15,1e-11,125,1.8e-07,3,1.57756e-07
0.7,1e-15,1e-11,125,3.6e-07,3,2.20349e-07
0.7,1e-15,5e-11,-40,1.8e-07,3,1.36887e-07
0.7,1e-15,5e-11,-40,3.6e-07,3,1.79404e-07
0.7,1e-15,5e-11,-25,1.8e-07,3,1.38512e-07
0.7,1e-15,5e-11,-25,3.6e-07,3,1.82314e-07
0.7,1e-15,5e-11,0,1.8e-07,3,1.41004e-07
0.7,1e-15,5e-11,0,3.6e-07,3,1.86992e-07
0.7,1e-15,5e-11,25,1.8e-07,3,1.43356e-07
0.7,1e-15,5e-11,25,3.6e-07,3,1.91485e-07
0.7,1e-15,5e-11,75,1.8e-07,3,1.47749e-07
0.7,1e-15,5e-11,75,3.6e-07,3,2.00002e-07
0.7,1e-15,5e-11,100,1.8e-07,3,1.49815e-07
0.7,1e-15,5e-11,100,3.6e-07,3,2.03994e-07
0.7,1e-15,5e-11,125,1.8e-07,3,1.51713e-07
0.7,1e-15,5e-11,125,3.6e-07,3,2.07651e-07
0.7,1e-15,1e-10,-40,1.8e-07,3,1.34612e-07
0.7,1e-15,1e-10,-40,3.6e-07,3,1.75358e-07
0.7,1e-15,1e-10,-25,1.8e-07,3,1.36084e-07
0.7,1e-15,1e-10,-25,3.6e-07,3,1.77968e-07
0.7,1e-15,1e-10,0,1.8e-07,3,1.38397e-07
0.7,1e-15,1e-10,0,3.6e-07,3,1.82114e-07
0.7,1e-15,1e-10,25,1.8e-07,3,1.40666e-07
0.7,1e-15,1e-10,25,3.6e-07,3,1.86195e-07
0.7,1e-15,1e-10,75,1.8e-07,3,1.44927e-07
0.7,1e-15,1e-10,75,3.6e-07,3,1.94214e-07
0.7,1e-15,1e-10,100,1.8e-07,3,1.4693e-07
0.7,1e-15,1e-10,100,3.6e-07,3,1.98028e-07
0.7,1e-15,1e-10,125,1.8e-07,3,1.48789e-07
0.7,1e-15,1e-10,125,3.6e-07,3,2.01568e-07
0.7,1e-15,2e-10,-40,1.8e-07,3,1.33077e-07
0.7,1e-15,2e-10,-40,3.6e-07,3,1.72861e-07
0.7,1e-15,2e-10,-25,1.8e-07,3,1.34293e-07
0.7,1e-15,2e-10,-25,3.6e-07,3,1.74981e-07
0.7,1e-15,2e-10,0,1.8e-07,3,1.36358e-07
0.7,1e-15,2e-10,0,3.6e-07,3,1.7855e-07
0.7,1e-15,2e-10,25,1.8e-07,3,1.38413e-07
0.7,1e-15,2e-10,25,3.6e-07,3,1.82174e-07
0.7,1e-15,2e-10,75,1.8e-07,3,1.42399e-07
0.7,1e-15,2e-10,75,3.6e-07,3,1.89431e-07
0.7,1e-15,2e-10,100,1.8e-07,3,1.44292e-07
0.7,1e-15,2e-10,100,3.6e-07,3,1.92906e-07
0.7,1e-15,2e-10,125,1.8e-07,3,1.46053e-07
0.7,1e-15,2e-10,125,3.6e-07,3,1.96166e-07
0.7,1e-15,4e-10,-40,1.8e-07,3,1.32417e-07
0.7,1e-15,4e-10,-40,3.6e-07,3,1.71491e-07
0.7,1e-15,4e-10,-25,1.8e-07,3,1.33334e-07
0.7,1e-15,4e-10,-25,3.6e-07,3,1.73165e-07
0.7,1e-15,4e-10,0,1.8e-07,3,1.35076e-07
0.7,1e-15,4e-10,0,3.6e-07,3,1.76247e-07
0.7,1e-15,4e-10,25,1.8e-07,3,1.36875e-07
0.7,1e-15,4e-10,25,3.6e-07,3,1.79402e-07
0.7,1e-15,4e-10,75,1.8e-07,3,1.40522e-07
0.7,1e-15,4e-10,75,3.6e-07,3,1.85941e-07
0.7,1e-15,4e-10,100,1.8e-07,3,1.422e-07
0.7,1e-15,4e-10,100,3.6e-07,3,1.89096e-07
0.7,1e-15,4e-10,125,1.8e-07,3,1.43816e-07
0.7,1e-15,4e-10,125,3.6e-07,3,1.92039e-07
0.7,5.454545454545455e-15,1e-11,-40,1.8e-07,3,5.08292e-07
0.7,5.454545454545455e-15,1e-11,-40,3.6e-07,3,5.58547e-07
0.7,5.454545454545455e-15,1e-11,-25,1.8e-07,3,5.09643e-07
0.7,5.454545454545455e-15,1e-11,-25,3.6e-07,3,5.61213e-07
0.7,5.454545454545455e-15,1e-11,0,1.8e-07,3,5.11832e-07
0.7,5.454545454545455e-15,1e-11,0,3.6e-07,3,5.65538e-07
0.7,5.454545454545455e-15,1e-11,25,1.8e-07,3,5.13951e-07
0.7,5.454545454545455e-15,1e-11,25,3.6e-07,3,5.69629e-07
0.7,5.454545454545455e-15,1e-11,75,1.8e-07,3,5.17826e-07
0.7,5.454545454545455e-15,1e-11,75,3.6e-07,3,5.77212e-07
0.7,5.454545454545455e-15,1e-11,100,1.8e-07,3,5.19551e-07
0.7,5.454545454545455e-15,1e-11,100,3.6e-07,3,5.80701e-07
0.7,5.454545454545455e-15,1e-11,125,1.8e-07,3,5.20828e-07
0.7,5.454545454545455e-15,1e-11,125,3.6e-07,3,5.8384e-07
0.7,5.454545454545455e-15,5e-11,-40,1.8e-07,3,5.03664e-07
0.7,5.454545454545455e-15,5e-11,-40,3.6e-07,3,5.48444e-07
0.7,5.454545454545455e-15,5e-11,-25,1.8e-07,3,5.05046e-07
0.7,5.454545454545455e-15,5e-11,-25,3.6e-07,3,5.51255e-07
0.7,5.454545454545455e-15,5e-11,0,1.8e-07,3,5.07162e-07
0.7,5.454545454545455e-15,5e-11,0,3.6e-07,3,5.55537e-07
0.7,5.454545454545455e-15,5e-11,25,1.8e-07,3,5.09172e-07
0.7,5.454545454545455e-15,5e-11,25,3.6e-07,3,5.59531e-07
0.7,5.454545454545455e-15,5e-11,75,1.8e-07,3,5.13008e-07
0.7,5.454545454545455e-15,5e-11,75,3.6e-07,3,5.67088e-07
0.7,5.454545454545455e-15,5e-11,100,1.8e-07,3,5.14649e-07
0.7,5.454545454545455e-15,5e-11,100,3.6e-07,3,5.70629e-07
0.7,5.454545454545455e-15,5e-11,125,1.8e-07,3,5.15722e-07
0.7,5.454545454545455e-15,5e-11,125,3.6e-07,3,5.7385e-07
0.7,5.454545454545455e-15,1e-10,-40,1.8e-07,3,5.01489e-07
0.7,5.454545454545455e-15,1e-10,-40,3.6e-07,3,5.43874e-07
0.7,5.454545454545455e-15,1e-10,-25,1.8e-07,3,5.02959e-07
0.7,5.454545454545455e-15,1e-10,-25,3.6e-07,3,5.46758e-07
0.7,5.454545454545455e-15,1e-10,0,1.8e-07,3,5.052e-07
0.7,5.454545454545455e-15,1e-10,0,3.6e-07,3,5.51189e-07
0.7,5.454545454545455e-15,1e-10,25,1.8e-07,3,5.07225e-07
0.7,5.454545454545455e-15,1e-10,25,3.6e-07,3,5.55225e-07
0.7,5.454545454545455e-15,1e-10,75,1.8e-07,3,5.10936e-07
0.7,5.454545454545455e-15,1e-10,75,3.6e-07,3,5.62719e-07
0.7,5.454545454545455e-15,1e-10,100,1.8e-07,3,5.12371e-07
0.7,5.454545454545455e-15,1e-10,100,3.6e-07,3,5.66171e-07
0.7,5.454545454545455e-15,1e-10,125,1.8e-07,3,5.1287e-07
0.7,5.454545454545455e-15,1e-10,125,3.6e-07,3,5.69309e-07
0.7,5.454545454545455e-15,2e-10,-40,1.8e-07,3,4.99265e-07
0.7,5.454545454545455e-15,2e-10,-40,3.6e-07,3,5.39702e-07
0.7,5.454545454545455e-15,2e-10,-25,1.8e-07,3,5.00763e-07
0.7,5.454545454545455e-15,2e-10,-25,3.6e-07,3,5.42387e-07
0.7,5.454545454545455e-15,2e-10,0,1.8e-07,3,5.03008e-07
0.7,5.454545454545455e-15,2e-10,0,3.6e-07,3,5.46608e-07
0.7,5.454545454545455e-15,2e-10,25,1.8e-07,3,5.05057e-07
0.7,5.454545454545455e-15,2e-10,25,3.6e-07,3,5.5061e-07
0.7,5.454545454545455e-15,2e-10,75,1.8e-07,3,5.08356e-07
0.7,5.454545454545455e-15,2e-10,75,3.6e-07,3,5.58017e-07
0.7,5.454545454545455e-15,2e-10,100,1.8e-07,3,5.08467e-07
0.7,5.454545454545455e-15,2e-10,100,3.6e-07,3,5.61401e-07
0.7,5.454545454545455e-15,2e-10,125,1.8e-07,3,5.05961e-07
0.7,5.454545454545455e-15,2e-10,125,3.6e-07,3,5.64406e-07
0.7,5.454545454545455e-15,4e-10,-40,1.8e-07,3,4.97161e-07
0.7,5.454545454545455e-15,4e-10,-40,3.6e-07,3,5.35935e-07
0.7,5.454545454545455e-15,4e-10,-25,1.8e-07,3,4.9843e-07
0.7,5.454545454545455e-15,4e-10,-25,3.6e-07,3,5.38186e-07
0.7,5.454545454545455e-15,4e-10,0,1.8e-07,3,5.0018e-07
0.7,5.454545454545455e-15,4e-10,0,3.6e-07,3,5.41919e-07
0.7,5.454545454545455e-15,4e-10,25,1.8e-07,3,4.99318e-07
0.7,5.454545454545455e-15,4e-10,25,3.6e-07,3,5.45498e-07
0.7,5.454545454545455e-15,4e-10,75,1.8e-07,3,4.71884e-07
0.7,5.454545454545455e-15,4e-10,75,3.6e-07,3,5.52115e-07
0.7,5.454545454545455e-15,4e-10,100,1.8e-07,3,4.42699e-07
0.7,5.454545454545455e-15,4e-10,100,3.6e-07,3,5.54098e-07
0.7,5.454545454545455e-15,4e-10,125,1.8e-07,3,4.09318e-07
0.7,5.454545454545455e-15,4e-10,125,3.6e-07,3,5.53845e-07
0.7,9.909090909090907e-15,1e-11,-40,1.8e-07,3,8.72137e-07
0.7,9.909090909090907e-15,1e-11,-40,3.6e-07,3,9.22594e-07
0.7,9.909090909090907e-15,1e-11,-25,1.8e-07,3,8.73434e-07
0.7,9.909090909090907e-15,1e-11,-25,3.6e-07,3,9.25125e-07
0.7,9.909090909090907e-15,1e-11,0,1.8e-07,3,8.75597e-07
0.7,9.909090909090907e-15,1e-11,0,3.6e-07,3,9.29294e-07
0.7,9.909090909090907e-15,1e-11,25,1.8e-07,3,8.77565e-07
0.7,9.909090909090907e-15,1e-11,25,3.6e-07,3,9.33319e-07
0.7,9.909090909090907e-15,1e-11,75,1.8e-07,3,8.77272e-07
0.7,9.909090909090907e-15,1e-11,75,3.6e-07,3,9.40659e-07
0.7,9.909090909090907e-15,1e-11,100,1.8e-07,3,8.698e-07
0.7,9.909090909090907e-15,1e-11,100,3.6e-07,3,9.43972e-07
0.7,9.909090909090907e-15,1e-11,125,1.8e-07,3,8.53142e-07
0.7,9.909090909090907e-15,1e-11,125,3.6e-07,3,9.46767e-07
0.7,9.909090909090907e-15,5e-11,-40,1.8e-07,3,8.68126e-07
0.7,9.909090909090907e-15,5e-11,-40,3.6e-07,3,9.13823e-07
0.7,9.909090909090907e-15,5e-11,-25,1.8e-07,3,8.6938e-07
0.7,9.909090909090907e-15,5e-11,-25,3.6e-07,3,9.1636e-07
0.7,9.909090909090907e-15,5e-11,0,1.8e-07,3,8.71329e-07
0.7,9.909090909090907e-15,5e-11,0,3.6e-07,3,9.20287e-07
0.7,9.909090909090907e-15,5e-11,25,1.8e-07,3,8.73071e-07
0.7,9.909090909090907e-15,5e-11,25,3.6e-07,3,9.24063e-07
0.7,9.909090909090907e-15,5e-11,75,1.8e-07,3,8.70275e-07
0.7,9.909090909090907e-15,5e-11,75,3.6e-07,3,9.31238e-07
0.7,9.909090909090907e-15,5e-11,100,1.8e-07,3,8.58838e-07
0.7,9.909090909090907e-15,5e-11,100,3.6e-07,3,9.34514e-07
0.7,9.909090909090907e-15,5e-11,125,1.8e-07,3,8.36538e-07
0.7,9.909090909090907e-15,5e-11,125,3.6e-07,3,9.37215e-07
0.7,9.909090909090907e-15,1e-10,-40,1.8e-07,3,8.66283e-07
0.7,9.909090909090907e-15,1e-10,-40,3.6e-07,3,9.0979e-07
0.7,9.909090909090907e-15,1e-10,-25,1.8e-07,3,8.67634e-07
0.7,9.909090909090907e-15,1e-10,-25,3.6e-07,3,9.12503e-07
0.7,9.909090909090907e-15,1e-10,0,1.8e-07,3,8.69617e-07
0.7,9.909090909090907e-15,1e-10,0,3.6e-07,3,9.1663e-07
0.7,9.909090909090907e-15,1e-10,25,1.8e-07,3,8.71149e-07
0.7,9.909090909090907e-15,1e-10,25,3.6e-07,3,9.20409e-07
0.7,9.909090909090907e-15,1e-10,75,1.8e-07,3,8.63011e-07
0.7,9.909090909090907e-15,1e-10,75,3.6e-07,3,9.27429e-07
0.7,9.909090909090907e-15,1e-10,100,1.8e-07,3,8.44605e-07
0.7,9.909090909090907e-15,1e-10,100,3.6e-07,3,9.30473e-07
0.7,9.909090909090907e-15,1e-10,125,1.8e-07,3,8.13522e-07
0.7,9.909090909090907e-15,1e-10,125,3.6e-07,3,9.32669e-07
0.7,9.909090909090907e-15,2e-10,-40,1.8e-07,3,8.64213e-07
0.7,9.909090909090907e-15,2e-10,-40,3.6e-07,3,9.05606e-07
0.7,9.909090909090907e-15,2e-10,-25,1.8e-07,3,8.65624e-07
0.7,9.909090909090907e-15,2e-10,-25,3.6e-07,3,9.08321e-07
0.7,9.909090909090907e-15,2e-10,0,1.8e-07,3,8.67527e-07
0.7,9.909090909090907e-15,2e-10,0,3.6e-07,3,9.12479e-07
0.7,9.909090909090907e-15,2e-10,25,1.8e-07,3,8.66946e-07
0.7,9.909090909090907e-15,2e-10,25,3.6e-07,3,9.16336e-07
0.7,9.909090909090907e-15,2e-10,75,1.8e-07,3,8.33419e-07
0.7,9.909090909090907e-15,2e-10,75,3.6e-07,3,9.23106e-07
0.7,9.909090909090907e-15,2e-10,100,1.8e-07,3,7.9233e-07
0.7,9.909090909090907e-15,2e-10,100,3.6e-07,3,9.25147e-07
0.7,9.909090909090907e-15,2e-10,125,1.8e-07,3,7.39984e-07
0.7,9.909090909090907e-15,2e-10,125,3.6e-07,3,9.24666e-07
0.7,9.909090909090907e-15,4e-10,-40,1.8e-07,3,8.60994e-07
0.7,9.909090909090907e-15,4e-10,-40,3.6e-07,3,9.01123e-07
0.7,9.909090909090907e-15,4e-10,-25,1.8e-07,3,8.56977e-07
0.7,9.909090909090907e-15,4e-10,-25,3.6e-07,3,9.03524e-07
0.7,9.909090909090907e-15,4e-10,0,1.8e-07,3,8.19829e-07
0.7,9.909090909090907e-15,4e-10,0,3.6e-07,3,9.07239e-07
0.7,9.909090909090907e-15,4e-10,25,1.8e-07,3,7.37094e-07
0.7,9.909090909090907e-15,4e-10,25,3.6e-07,3,9.09086e-07
0.7,9.909090909090907e-15,4e-10,75,1.8e-07,3,5.67763e-07
0.7,9.909090909090907e-15,4e-10,75,3.6e-07,3,8.85606e-07
0.7,9.909090909090907e-15,4e-10,100,1.8e-07,3,5.04402e-07
0.7,9.909090909090907e-15,4e-10,100,3.6e-07,3,8.50354e-07
0.7,9.909090909090907e-15,4e-10,125,1.8e-07,3,4.5255e-07
0.7,9.909090909090907e-15,4e-10,125,3.6e-07,3,8.01932e-07
0.7,1.436363636363636e-14,1e-11,-40,1.8e-07,3,1.23593e-06
0.7,1.436363636363636e-14,1e-11,-40,3.6e-07,3,1.28638e-06
0.7,1.436363636363636e-14,1e-11,-25,1.8e-07,3,1.23718e-06
0.7,1.436363636363636e-14,1e-11,-25,3.6e-07,3,1.28885e-06
0.7,1.436363636363636e-14,1e-11,0,1.8e-07,3,1.239e-06
0.7,1.436363636363636e-14,1e-11,0,3.6e-07,3,1.29296e-06
0.7,1.436363636363636e-14,1e-11,25,1.8e-07,3,1.23783e-06
0.7,1.436363636363636e-14,1e-11,25,3.6e-07,3,1.29691e-06
